claim_id,anchor,unit_type,ordinal,doc_line,sha1,cls,cases,merge_group,canonical,merged_into,exclusion_reason,rule,note,text
C-aws-bedrock-agentcore-before-during-afte-thead-001,aws-bedrock-agentcore-before-during-afte,thead,1,5,717d77f3eca33587dcf4d5b9e7986e891232ea94,D,,,,,"Table header row — column labels, not a proposition. The claims live in the body rows.",TYPE:*/thead,cells=2,**Field** || **Value**
C-aws-bedrock-agentcore-before-during-afte-trow-001,aws-bedrock-agentcore-before-during-afte,trow,1,7,1c4f51ab73bd660daf13cdcc4a38f23553180117,D,,,,,"Document metadata (version, date, scope, audience) — properties of the document, not of AWS.",TYPE:aws-bedrock-agentcore-before-during-afte/trow,cells=2,**Version** || 1.2
C-aws-bedrock-agentcore-before-during-afte-trow-002,aws-bedrock-agentcore-before-during-afte,trow,2,8,dcd9b274b13e648d5d1c41d1d1ee7a5f6f93a4ea,D,,,,,"Document metadata (version, date, scope, audience) — properties of the document, not of AWS.",TYPE:aws-bedrock-agentcore-before-during-afte/trow,cells=2,"**Date** || August 8, 2026"
C-aws-bedrock-agentcore-before-during-afte-trow-003,aws-bedrock-agentcore-before-during-afte,trow,3,9,9eaf5e64373cd39bf46310be81c637363dcbf5bc,D,,,,,"Document metadata (version, date, scope, audience) — properties of the document, not of AWS.",TYPE:aws-bedrock-agentcore-before-during-afte/trow,cells=2,**Scope** || End-to-end guardrails architecture for agents deployed on Amazon Bedrock AgentCore Runtime
C-aws-bedrock-agentcore-before-during-afte-trow-004,aws-bedrock-agentcore-before-during-afte,trow,4,10,6a8c6159437a17578a9c41d1a9fe5f7d2d5494d2,D,,,,,"Document metadata (version, date, scope, audience) — properties of the document, not of AWS.",TYPE:aws-bedrock-agentcore-before-during-afte/trow,cells=2,"**Audience** || Solutions Architects, Technical Account Managers, Builder Community"
C-aws-bedrock-agentcore-before-during-afte-trow-005,aws-bedrock-agentcore-before-during-afte,trow,5,11,46da7d79faa4ca7d6f6f12bf82cc1f9ac080ced9,D,,,,,"Provenance statement about the document's own sources, not a claim about AWS behaviour. Verified by the release gate (NDA downgrade pass), not by experiment.",OVERRIDE:C-aws-bedrock-agentcore-before-during-afte-trow-005,cells=2,**References** || AWS Official Documentation; Amazon Bedrock AgentCore Service Approval Accelerator v2.9 (2026-07-13)
C-s1-prose-001,s1,prose,1,15,b7b5c3b7aa98c52ac3346306d0d0750599c33731,S,F6-1 F6-2 F6-4 F6-5,,,,,OVERRIDE:C-s1-prose-001,,"When deploying AI agents on Amazon Bedrock AgentCore with backend models (e.g., Claude), guardrails introduce multiple checkpoint hops in the request/response lifecycle."
C-s1-prose-002,s1,prose,2,15,8dd42dab2479d32e70e44cf5c76f1b1b3f65b79a,S,F6-1 F6-2 F6-4 F6-5 F6-6,,,,,OVERRIDE:C-s1-prose-002,,"While these checkpoints are essential for safety and compliance, they add measurable latency at each hop."
C-s1-quote-001,s1,quote,1,17,71d36a613e902c63c30fe7fe16e85275eb45d82b,C,F8-1,,,,,OVERRIDE:C-s1-quote-001,,"**Regional availability (important):** Guardrails-in-policy (AgentCore Gateway policy guardrails, Hop #1/#5) is currently available only in US East (N. Virginia), Europe (London), Europe (Stockholm), Asia Pacific (Sydney), and Asia Pacific (Tokyo). Singapore (ap-southeast-1) and most other Asia Pacific Regions are NOT yet supported — confirm Regional support before designing a deployment. Standalone Bedrock Guardrails (via ApplyGuardrail / model invocation, Hop #2/#6) has broader Regional coverage."
C-s1-quote-002,s1,quote,2,19,90ff6897c2c72d0963d78f7567be6928e574dae3,S,F8-2 F8-3,M-tier-language-ineffective,no,C-s3-4-bullet-001-a,,OVERRIDE:C-s1-quote-002,,"**Language support (important for non-English workloads):** Bedrock Guardrails content filters on the Classic tier support only English, French, and Spanish. The Standard tier adds broad multi-language coverage (including Chinese, Japanese, Korean) but **requires cross-Region inference**, meaning prompts and results may be processed outside your primary Region — evaluate this against your data-residency requirements together with the Regional constraint above. Per AWS: ""Guardrails are ineffective with languages that aren't supported."" See Section 3.4."
